,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
0,Abbot Street/ Shawmut Ave,Roxbury,02119,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,
1,Academy Homes I,Roxbury,02119,202,202,0,52.0,52.0,0.0,150,150,0.0,Rental,Private,,
2,Academy Homes II,Roxbury,02119,236,236,0,0.0,0.0,0.0,236,236,0.0,Rental,Private,,Y
3,Adams Court Phase A,Mattapan,02126,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,
4,Adams Court Phase B,Mattapan,02126,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,
5,Adams Templeton Elderly Housing,Dorchester,02124,76,76,0,1.0,1.0,0.0,75,75,0.0,Rental,Private,Y,Y
6,Alcott Apts [Garden Garage],West End,02114,470,470,0,453.0,453.0,0.0,17,17,0.0,Rental,Private,,
7,Alexander-Magnolia,Dorchester,02125,40,40,0,2.0,2.0,0.0,38,38,0.0,Rental,Private,,
8,"Alice H. Taylor (Mission Hill Ext.) (2-14, -60,-84,-86,-100)",Mission Hill,02120,363,363,0,0.0,0.0,0.0,363,363,0.0,Rental,Public,,
9,Allele Condominium,South Boston,02127,47,0,47,41.0,0.0,41.0,6,0,6.0,Ownership,Private,,
10,Alleyne (VUP) CDFI,Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
11,Alpine Street Village,Hyde Park,02136,44,0,44,40.0,0.0,40.0,4,0,4.0,Rental,Private,,
12,Amiff Housing,Dorchester,02124,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Private,,Y
13,Amory Foundry (Phase I),Jamaica Plain,02130,23,0,23,18.0,,18.0,5,0,5.0,Ownership,Private,,
14,Amory Street (2-45),Jamaica Plain,02119,215,215,0,0.0,0.0,0.0,215,215,0.0,Rental,Private,Y,
15,Amory Terrace,Jamaica Plain,02119,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Private,,
16,Amy Lowell House,West End,02114,152,152,0,30.0,30.0,0.0,122,122,0.0,Rental,Private,,
17,Anderson Park,Beacon Hill,02114,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Private,Y,Y
18,Andrade (VUP),Dorchester,02122,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
19,Andrew Square Apts,South Boston,02127,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
20,Angela Westover House,Jamaica Plain,02130,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,Y,Y
21,Annapolis (2-27),Dorchester,02125,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Public,Y,
22,Archdale (200-7),Roslindale,02131,285,285,0,0.0,0.0,0.0,285,285,0.0,Rental,Public,,
23,Archstone Boston Common,Chinatown,02111,420,420,0,374.0,374.0,0.0,46,46,0.0,Rental,Private,,
24,Armory Condos,Charlestown,02129,42,0,42,36.0,0.0,36.0,6,0,6.0,Ownership,Private,,
25,Ashmont (2-28),Dorchester,02124,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Public,Y,
26,Ashmont TOD (Housing),Dorchester,02124,116,74,42,42.0,0.0,42.0,74,74,0.0,Rental,Private,,
27,Astoria Street Condos (Elizabeth Street),Mattapan,02126,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
28,Atlantic Wharf,Downtown,02210,86,86,0,81.0,81.0,0.0,5,5,0.0,Rental,Private,,
29,Atrium Lofts,East Boston,02128,218,0,218,186.0,0.0,186.0,32,0,32.0,Ownership ,Private,,
30,Audubon Apts,Mattapan,02126,37,37,0,5.0,5.0,0.0,32,32,0.0,Rental,Private,,
31,Ausonia (2-61),North End,02109,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Public,Y,
32,Ava Theater District,Downtown,02116,398,398,0,358.0,358.0,0.0,40,40,0.0,Rental,Private,,
33,Avalon at North Station,West End,02114,503,503,0,473.0,473.0,0.0,30,30,0.0,Rental,Private,,
34,Avalon at Prudential Center,Back Bay,02116,188,188,0,182.0,182.0,0.0,6,6,0.0,Rental,Private,,
35,Avana Lofts,Chinatown,02111,32,32,0,29.0,29.0,0.0,3,3,0.0,Rental,Private,,
36,Avenir Development,West End,02114,241,241,0,224.0,224.0,0.0,17,17,0.0,Rental,Private,,
37,Avondale Place,Mission Hill,02115,22,22,0,0.0,0.0,0.0,22,22,0.0,Rental,Private,,
38,Babcock Tower,Allston,02134,213,213,0,53.0,53.0,0.0,160,160,0.0,Rental,Private,,Y
39,Back of the Hill 202,Mission Hill,02130,125,125,0,0.0,0.0,0.0,125,125,0.0,Rental,Private,Y,Y
40,Back of the Hill HOP,Mission Hill,02120,149,0,149,58.0,0.0,58.0,91,0,91.0,Ownership,Private,,
41,Bailey (VUP),Roxbury,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
42,Baker Square Condominium,Mattapan,02124,60,60,0,52.0,52.0,0.0,8,8,0.0,Rental,Private,,
43,Balina Place at Norfolk St/Habitat,Dorchester,02124,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
44,Bancroft Apts,Jamaica Plain,02119,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y
45,Baptista (VUP),Dorchester,02125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
46,Barlett Square,Jamaica Plain,02130,13,0,13,11.0,0.0,11.0,2,0,2.0,Ownership,Private,,
47,Barnes School 202,East Boston,02128,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,Y,
48,Bartlett Place Building E,Roxbury,02119,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
49,Bartlett Place/Building B,Roxbury,02119,60,0,60,22.0,22.0,0.0,38,38,0.0,Rental,Private,,
50,Basilica (667-6),Charlestown,02129,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Public,Y,
51,Bates School/Artblock 731,South End,02118,54,0,54,30.0,0.0,30.0,24,0,24.0,Ownership,Private,,
52,Bay Cove Group Homes I,Roslindale,02131,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,Y
53,Bay Cove Group Homes III,South Boston,02127,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,Y
54,Bay Cove Group Homes IV,Dorchester,02125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,
55,Bay Cove Hyde Park,Roslindale,02131,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
56,BCN Properties,Roxbury,02119,53,53,0,0.0,0.0,0.0,53,53,0.0,Rental,Private,,Y
57,Beacon House,Beacon Hill,02114,135,135,0,50.0,50.0,0.0,85,85,0.0,Rental,Private,Y,Y
58,Beasley (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
59,Belgrade Place,West Roxbury,02132,39,39,0,34.0,0.0,34.0,5,5,0.0,Rental,Private,,
60,Bellflower (2-77),Dorchester,02125,114,114,0,0.0,0.0,0.0,114,114,0.0,Rental,Public,Y,
61,"Berkeley Investments, Inc.",South Boston Waterfront,02127,88,0,88,80.0,0.0,80.0,8,0,8.0,Ownership,Private,,
62,Beryl Gardens,Roxbury,02119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,
63,BHA Infill 1A - Quincy Geneva,Roxbury,02121,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,
64,BHA Infill 1B - Codman Square NDC,Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
65,BHA Infill 2 - Urban Edge,Roxbury,02119,15,5,10,0.0,0.0,0.0,15,5,10.0,Ownership/Rental,Private,,
66,BHA Infill 3 - Nuestra,Roxbury,02119,10,4,6,0.0,0.0,0.0,10,4,6.0,Ownership/Rental,Private,,
67,BHP Codman Square,Dorchester,02124,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,
68,BHP Fields Corner,Dorchester,02122,77,77,0,0.0,0.0,0.0,77,77,0.0,Rental,Private,,Y
69,BHP Frawley-Delle,Mission Hill,02115,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,,Y
70,BHP Hano Street,Allston,02134,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,Section 8 or MRVP
71,BHP Lena Park,Dorchester,02121,93,93,0,0.0,0.0,0.0,93,93,0.0,Rental,Private,,
72,BHP Quincy-Geneva,Roxbury,02121,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,Y
73,BHP Washington Park,Jamaica Plain,02119,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Private,,
74,BHP Westland Ave,Fenway,02115,20,20,0,5.0,5.0,0.0,15,15,0.0,Rental,Private,,
75,Bickford (2-25),Jamaica Plain,02130,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Public,Y,
76,Bird St. Estates,Roxbury,02125,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,
77,Blackstone Apts,West End,02114,145,145,0,0.0,0.0,0.0,145,145,0.0,Rental,Private,Y,Y
78,Blake Estates I,Hyde Park,02136,175,175,0,0.0,0.0,0.0,175,175,0.0,Rental,Private,Y,Y
79,Blake Estates II,Hyde Park,02136,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,Y,Y
80,Blandino Farms,Dorchester,02124,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
81,Blessed Sacrament Mixed-Use (Rental + SRO),Jamaica Plain,02130,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,,
82,Bloomfield Gardens,Dorchester,02124,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,
83,Blue Hill Commons,Roxbury,02119,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,
84,Blue Mountain Assoc.,Roxbury,02121,217,217,0,0.0,0.0,0.0,217,217,0.0,Rental,Private,,Y
85,Border Falcon Condominiums,East Boston,02128,14,0,14,0.0,0.0,0.0,14,0,14.0,Ownership,Private,,
86,Boston East,East Boston,02128,200,200,0,174.0,174.0,0.0,26,26,0.0,Rental,Private,,
87,Boston Kenmore Realty LLC,Leather District,02111,54,0,54,49.0,0.0,49.0,5,0,5.0,Ownership,Private,,
88,Boston Landing,Brighton,02135,295,295,0,257.0,257.0,0.0,38,38,0.0,Rental,Private,,
89,Boston Rehab,Fenway,02115,144,144,0,0.0,0.0,0.0,144,144,0.0,Rental,Private,Y,Y
90,Boston Trailer Park Tenants,West Roxbury,02132,104,104,0,26.0,26.0,0.0,78,78,0.0,Rental,Private,,
91,Boston Wharf Tower,South Boston Waterfront,02127,202,202,0,180.0,180.0,0.0,22,22,0.0,Rental,Private,,
92,Boston's Hope in Dorchester,Dorchester,02124,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,
93,Bowditch School Lodging House,Jamaica Plain,02130,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,,
94,Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,02122,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,
95,Bowdoin Place,Downtown,02114,75,0,75,56.0,0.0,56.0,19,0,19.0,Ownership,Private,Y,
96,Bowdoin School,Beacon Hill,02114,35,35,0,0.0,0.0,0.0,35,35,0.0,Rental,Private,Y,Y
97,Bowdoin/Geneva - HOME AGAIN,Dorchester,02125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,
98,Bowdoin/Geneva (Phase II),Dorchester,02125,10,5,5,2.0,1.0,1.0,8,4,4.0,Ownership/Rental,Private,,
99,Bowdoin-Geneva & Dudley FTHB,Dorchester,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
100,Bowdoin-Geneva & Dudley Rental,Roxbury,02119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
101,Bowen (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
102,Boylston St Mixed Use,Back Bay,02116,85,85,0,75.0,75.0,0.0,10,10,0.0,Rental,Private,,
103,Boylston West (Fenway Triangle Mixed Use),Fenway,02215,172,172,0,159.0,159.0,0.0,13,13,0.0,Rental,Private,,
104,Bradford Estates,Dorchester,02124,24,0,24,0.0,0.0,0.0,24,0,24.0,Ownership,Private,,
105,Bradlee-Fowler,Dorchester,02124,3,1,2,0.0,0.0,0.0,3,1,2.0,Ownership/Rental,Private,,
106,Bradley Properties,South End,02118,70,70,0,0.0,0.0,0.0,70,70,0.0,Rental,Private,,Y
107,Brandywyne Village,East Boston,02128,402,402,0,136.0,136.0,0.0,266,266,0.0,Rental,Private,,Y
108,Brantley (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
109,Braxton (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
110,Brewery Lofts,Mission Hill,02130,79,0,79,71.0,0.0,71.0,8,0,8.0,Ownership,Private,,
111,BRIAN J HONAN APARTMENTS,Allston,02134,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,
112,Brighton Gardens,Brighton,02135,62,62,0,49.0,49.0,0.0,13,13,0.0,Rental,Private,Y,
113,Brighton-Allston Apts,Allston,02134,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,Y,
114,Brighton-Allston Elderly,Brighton,02134,80,80,0,1.0,1.0,0.0,79,79,0.0,Rental,Private,Y,Y
115,"Bromley Park (2-19, -75, -101)",Jamaica Plain,02130,779,779,0,0.0,0.0,0.0,779,779,0.0,Rental,Public,Y,
116,Brook Avenue Cooperative,Roxbury,02119,36,36,0,0.0,0.0,0.0,36,36,0.0,Cooperative,Private,,
117,"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,02125,18,1,17,0.0,0.0,0.0,18,1,17.0,Ownership/Rental,Private,,
118,Brookside Artists Housing,Jamaica Plain,02130,21,0,21,3.0,0.0,3.0,18,0,18.0,Ownership,Private,,
119,Brookview House,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
120,Brookview House II,Dorchester,02124,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
121,Brookview House III,Dorchester,02124,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
122,Brown (VUP),Dorchester,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
123,"Brown, J & D (VUP)",Roxbury,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
124,Brown-Kaplan Townhomes,Dorchester,02124,60,60,0,0.0,0.0,0.0,53,53,0.0,Rental,Private,,Y
125,Brownstone Apartments,South End,02118,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,,Y
126,Brunswick Street,Dorchester,02121,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
127,Brush Hill Commons,Jamaica Plain,02130,14,0,14,8.0,0.0,8.0,6,0,6.0,Ownership,Private,,
128,Buckminster Hotel,Fenway,02215,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,
129,Buildable Lots - Codman Square,Dorchester,0nan,6,0,6,1.0,0.0,1.0,5,0,5.0,Ownership,Private,,
130,Buildable Lots - Ferndale,Dorchester,02124,12,0,12,3.0,0.0,3.0,9,0,9.0,Ownership,Private,,
131,Buildable Lots - Uphams,Dorchester,0nan,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
132,Buildable Lots- 1&2,Dorchester,02124,15,0,15,6.0,0.0,6.0,9,0,9.0,Ownership,Private,,
133,Buildable Lots- 3&4,Dorchester,0nan,18,0,18,8.0,0.0,8.0,10,0,10.0,Ownership,Private,,
134,Buildable Lots- 5,Dorchester,02124,9,0,9,0.0,0.0,0.0,9,0,9.0,Ownership,Private,,
135,Buildable Lots- 6,Mattapan,02126,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,
136,Building 104,Charlestown,02129,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,,
137,Builduing 33 at Navy Yard,Charlestown,02129,47,47,0,41.0,41.0,0.0,6,6,0.0,Rental,Private,,
138,Burbank Gardens,Fenway,02115,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,,Y
139,Burton Apts (18u),Roxbury,02120,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,Y
140,Burton-Dudley,Roxbury,02119,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,
141,Call Carolina Homes,Jamaica Plain,02130,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,
142,Callender|Floyd|Stratton NHI 1,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
143,Callender|Floyd|Stratton NHI 2,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
144,Callender|Floyd|Stratton NHI 3,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
145,Callender|Floyd|Stratton NHI 4,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
146,Callender|Floyd|Stratton NHI 5,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
147,Callender|Floyd|Stratton NHI 6,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
148,Callender|Floyd|Stratton NHI 7,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
149,Callender|Floyd|Stratton NHI 8,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
150,Callender|Floyd|Stratton NHI 9,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
151,Callender|Tucker NHI 1,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
152,Callender|Tucker NHI 2,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
153,Callender|Tucker NHI 3,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
154,Callender|Tucker NHI 4,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
155,Camden Street (200-2),Roxbury,02118,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Public,,
156,Camfield Gardens,Roxbury,02118,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,,Y
157,Capen Green,Dorchester,02124,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,
158,Cardella (VUP),South Boston,02127,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
159,Cardinal Medeiros Manor,Roxbury,02125,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Private,Y,Y
