,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
9,Allele Condominium,South Boston,02127,47,0,47,41.0,0.0,41.0,6,0,6.0,Ownership,Private,,
10,Alleyne (VUP) CDFI,Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
11,Alpine Street Village,Hyde Park,02136,44,0,44,40.0,0.0,40.0,4,0,4.0,Rental,Private,,
13,Amory Foundry (Phase I),Jamaica Plain,02130,23,0,23,18.0,,18.0,5,0,5.0,Ownership,Private,,
18,Andrade (VUP),Dorchester,02122,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
19,Andrew Square Apts,South Boston,02127,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
24,Armory Condos,Charlestown,02129,42,0,42,36.0,0.0,36.0,6,0,6.0,Ownership,Private,,
27,Astoria Street Condos (Elizabeth Street),Mattapan,02126,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
29,Atrium Lofts,East Boston,02128,218,0,218,186.0,0.0,186.0,32,0,32.0,Ownership ,Private,,
40,Back of the Hill HOP,Mission Hill,02120,149,0,149,58.0,0.0,58.0,91,0,91.0,Ownership,Private,,
41,Bailey (VUP),Roxbury,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
43,Balina Place at Norfolk St/Habitat,Dorchester,02124,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
45,Baptista (VUP),Dorchester,02125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
46,Barlett Square,Jamaica Plain,02130,13,0,13,11.0,0.0,11.0,2,0,2.0,Ownership,Private,,
48,Bartlett Place Building E,Roxbury,02119,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
49,Bartlett Place/Building B,Roxbury,02119,60,0,60,22.0,22.0,0.0,38,38,0.0,Rental,Private,,
50,Basilica (667-6),Charlestown,02129,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Public,Y,
51,Bates School/Artblock 731,South End,02118,54,0,54,30.0,0.0,30.0,24,0,24.0,Ownership,Private,,
54,Bay Cove Group Homes IV,Dorchester,02125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,
58,Beasley (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
61,"Berkeley Investments, Inc.",South Boston Waterfront,02127,88,0,88,80.0,0.0,80.0,8,0,8.0,Ownership,Private,,
63,BHA Infill 1A - Quincy Geneva,Roxbury,02121,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,
64,BHA Infill 1B - Codman Square NDC,Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
65,BHA Infill 2 - Urban Edge,Roxbury,02119,15,5,10,0.0,0.0,0.0,15,5,10.0,Ownership/Rental,Private,,
66,BHA Infill 3 - Nuestra,Roxbury,02119,10,4,6,0.0,0.0,0.0,10,4,6.0,Ownership/Rental,Private,,
76,Bird St. Estates,Roxbury,02125,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,
80,Blandino Farms,Dorchester,02124,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
83,Blue Hill Commons,Roxbury,02119,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,
85,Border Falcon Condominiums,East Boston,02128,14,0,14,0.0,0.0,0.0,14,0,14.0,Ownership,Private,,
87,Boston Kenmore Realty LLC,Leather District,02111,54,0,54,49.0,0.0,49.0,5,0,5.0,Ownership,Private,,
94,Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,02122,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,
95,Bowdoin Place,Downtown,02114,75,0,75,56.0,0.0,56.0,19,0,19.0,Ownership,Private,Y,
97,Bowdoin/Geneva - HOME AGAIN,Dorchester,02125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,
98,Bowdoin/Geneva (Phase II),Dorchester,02125,10,5,5,2.0,1.0,1.0,8,4,4.0,Ownership/Rental,Private,,
99,Bowdoin-Geneva & Dudley FTHB,Dorchester,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
100,Bowdoin-Geneva & Dudley Rental,Roxbury,02119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
101,Bowen (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
104,Bradford Estates,Dorchester,02124,24,0,24,0.0,0.0,0.0,24,0,24.0,Ownership,Private,,
105,Bradlee-Fowler,Dorchester,02124,3,1,2,0.0,0.0,0.0,3,1,2.0,Ownership/Rental,Private,,
108,Brantley (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
109,Braxton (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
110,Brewery Lofts,Mission Hill,02130,79,0,79,71.0,0.0,71.0,8,0,8.0,Ownership,Private,,
117,"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,02125,18,1,17,0.0,0.0,0.0,18,1,17.0,Ownership/Rental,Private,,
118,Brookside Artists Housing,Jamaica Plain,02130,21,0,21,3.0,0.0,3.0,18,0,18.0,Ownership,Private,,
119,Brookview House,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
122,Brown (VUP),Dorchester,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
