,Neighborhood,Building Address,For Current Vacancies and More Information,Number of Units Tracked,Bedroom Sizes,AMI Categories,coordinates
0,Allston,8 Griggs Street,The Mount Vernon Company: 617.267.0006,2.0,1BR,80-100%; 100%,"(42.34832965, -71.1335027927453)"
1,Allston,31 North Beacon Street,Carol Fiore: cfiore@78clean.com,3.0,"Studio, 1BR, 2BR",70%,"(42.3539088, -71.138789)"
2,Allston,40 Malvern Street,40Malvern@maloneyproperties.com,6.0,"1BR, 2BR",70%,"(42.35401755, -71.12501488618213)"
3,Allston,450 Cambridge Street,"Maloney Properties: 617.209.5406
450Cambridge@maloneyproperties.com",5.0,"1BR, 2BR",70%,"(42.371297999999996, -71.08374705491829)"
4,Allston,1505 Commonwealth Avenue,LBC Boston: 617.599.7261,10.0,"Studio, 1BR, 2BR",70%,"(42.3470837, -71.141587607862)"
5,Allston,"Continuum
219 Western Avenue",Continuum@maloneyproperties.com,42.0,"Studio, 1BR, 2BR, 3BR",70%,"(<NA>, <NA>)"
6,Allston,"The Eco Allston
75 Brainerd Road",National Development: 857.576.6160,14.0,"Studio, 1BR, 2BR",70%,"(<NA>, <NA>)"
7,Allston,"The Edge
60–66 Brainerd Road",National Development: 857.576.6160,10.0,"Studio, 1BR, 2BR",70%,"(<NA>, <NA>)"
8,Allston,"The Element
65 Brainerd Road",National Development: 857.576.6160,4.0,"Studio, 1BR",70%,"(<NA>, <NA>)"
9,Allston,"The Gateway
1298 & 1302 Commonwealth Ave",Mount Vernon: 617.267.0006,8.0,"Studio, 1BR",70%,"(<NA>, <NA>)"
10,Allston,"The Radius Apartments
530 Western Avenue ",Radius@maloneyproperties.com,17.0,"micro, studio, 1BD, 2BD",70%,"(<NA>, <NA>)"
11,Allston,"Trac 75
75 Braintree Street","Dolben: 617-539-7575
trac75@dolben.com",11.0,"Studio, 1BR, 2BR, 3BR",70%,"(42.3565213, -71.13580614814815)"
12,Back Bay,"30 Dalton
30 Dalton Street",Bozzuto Management Co.: 617.302.9874,14.0,"1BR, 2BR",70%,"(42.345961200000005, -71.08478743194442)"
13,Back Bay,"Avalon @ Exeter
77 Exeter Street",Avalon Communities: 617.236.1369,6.0,"Studio, 1BR",80-120%,"(42.34869435, -71.07938797438223)"
14,Back Bay,"Avalon @ Prudential
780 Boylston Street",Avalon Communities: 617.536.9300,60.0,"Studio, 1BR, 2BR","65%, 65-80%, 80-100%, 100% 4persons, 100-120%","(42.3481144, -71.07962649136773)"
15,Back Bay,"Mandarin Oriental
778 Boylston Street","Maloney Properties: 617.209.5406
Mandarin@maloneyproperties.com",10.0,"1BR, 2BR","80%, 80-100%, 90%, 100-120%","(<NA>, <NA>)"
16,Brighton,150 Chestnut Hill Avenue,"Maloney Properties: 617.209.5406
150Chestnut@maloneyproperties.com",3.0,2BR,70%,"(42.34183565, -71.1535721253632)"
17,Brighton,375 Market Street,"Maloney Properties: 617.209.5406
 375Market@maloneyproperties.com",5.0,"1BR, 2BR, 3BR",60-80%,"(42.3505958, -71.1533287)"
18,Brighton,"Hichblock
24-26 Hichborn Street","Maloney Properties: 617.209.5406
24Hichborn@maloneyproperties.com",3.0,3BR,70%,"(<NA>, <NA>)"
19,Brighton,"St. Gabriel's Apartments
159-201 Washington Street",StGabriels@maloneyproperties.com,83.0,"micro, studio, 1BR, 2BR, 3BR","70%, 150%","(<NA>, <NA>)"
20,Brighton,"Waterstone at the Circle
385 Chestnut Hill Avenue","Maloney Properties: 857-325-3703
Waterstone@maloneyproperties.com",12.0,"1BR, 2BR",70%,"(<NA>, <NA>)"
21,Charlestown,"Building 33 @ the Navy Yard
33 Third Avenue","Longwood Properties, Inc.: 617.566.3100",6.0,"Studio, 1BR, 2 BR",70%,"(<NA>, <NA>)"
22,Charlestown,"Gatehouse 75
75 West School Street","Maloney Properties: 617.209.5406
Gatehouse75@maloneyproperties.com",13.0,"Studio, 1BR, 2BR",70%,"(42.375622050000004, -71.06789707748516)"
23,Charlestown,"Harborview @ the Navy Yard
250 First Avenue",Lincoln Properties: 617.242.1598,22.0,"Studio, 1BR, 2BR","80%, 100%, 120%","(42.3773513, -71.0500176859359)"
24,Charlestown,"Mezzo Design Lofts
30 Caldwell Street",Lincoln Property Company: 617.242.0999,15.0,"Studio, 1BR, 2BR, 3BR",70%,"(42.3846336, -71.07764345390885)"
25,Charlestown,The Graphic,"        
Lincoln Properties: 617-580-2412",23.0,"Micro, Studio, 1BR, 2BR, 3BR",70%,"(52.6241081, -1.4012979)"
26,Charlestown,"The Harvey 
480 Rutherford Avenue                                                                                                                     ",480Rutherford@maloneyproperties.com,23.0,"Studio, 1BR, 2BR",70%,"(<NA>, <NA>)"
27,Dorchester,5-11 Woodworth Street,"Maloney Properties: 617.209.5406
Woodworth@maloneyproperties.com",,,,"(42.515947, -71.768663)"
28,Dorchester,8 Banton Street,BantonStreet@maloneyproperties.com,2.0,2BR,70%,"(42.288496125, -71.06374975)"
29,Dorchester,11 Minot Street,367Neponset@maloneyproperties.com,3.0,"1BR, 2BR",70%,"(42.2863058, -71.0451138)"
30,Dorchester,1943 Dorchester Avenue,Corcoran Management: 781-789-8427,8.0,"Studio, 1BR, 2BR",70%,"(42.28439285, -71.06514884999999)"
31,Dorchester,"Hub 25
25-35 Morrissey Boulevard",Gables Residential: 617.825.2614,36.0,"Studio, 1BR, 2BR, 3BR",70%,"(<NA>, <NA>)"
32,Dorchester,"The Peninsula Apartments
401 Mount Vernon Street",National Development: 617.436.0005,22.0,"1BR, 2BR, 3BR",75%,"(<NA>, <NA>)"
33,Dorchester,"Schoolhouse @ Lower Mills
40 River Street",Stephanie A. Lee: 857.598.4807,6.0,"1BR, 2BR",70%,"(<NA>, <NA>)"
34,Dorchester,"Studios at St. Peter's
307 Bowdoin Street",Pine Street Inn: 617.892.8714,4.0,Studio,70%,"(<NA>, <NA>)"
35,Downtown,32 & 40 Boylston Street,The Hamilton Company: 617.426.3060,3.0,1BR,"80%, 120%","(37.7326233, -122.4111355)"
36,Downtown,"Archstone Boston Common
660 Washington Street",Equity Residential: 617.350.5501,46.0,"Studio, 1BR, 2BR, 3BR",80-120%,"(42.35194515, -71.06211573308342)"
37,Downtown,"Atlantic Wharf
530 Atlantic Avenue",Greystar: 617.261.1900,5.0,"Studio, 1BR, 2BR",80-100%,"(42.3537091, -71.0529797467099)"
38,Downtown,"AVA Theater District
45 Stuart Street",Avalon Communities: 857.350.4949,40.0,"Studio, 1BR, 2BR",80%,"(42.351383150000004, -71.06413305008587)"
39,Downtown,"One Canal
1 Canal Street","Maloney Properties: 617.209.5406
Canal@maloneyproperties.com",20.0,"Studio, 1BR, 2BR, 3BR",70%,"(53.3398947, -6.243148212603402)"
40,Downtown,"Liberty Tree Lofts
630 Washington Street","	
LibertyTreeLofts@maloneyproperties.com",,studio,70%,"(<NA>, <NA>)"
41,Downtown,"Radian
120 Kingston Street",Forest City Enterprises: 617.210.4743,5.0,"Studio, 1BR",70%,"(42.35215325, -71.05906671039978)"
42,Downtown,The Sudbury,Bozzutto Management: 833.221.7315,63.0,"Studio, 1BR, 2BR, 3BR",70%,"(42.3623192, -71.05961358851553)"
43,Downtown,"The Victor
110 Beverly Street",Windsor Communities: 617.742.9595,10.0,"Studio, 1BR, 2BR",70%,"(<NA>, <NA>)"
44,East Boston,41–43 Saratoga Street,"Maloney Properties
41Saratoga@maloneyproperties.com",3.0,"Studio, 1BR",70%,"(42.3759722, -71.03745674999999)"
45,East Boston,245 Sumner Street,"Maloney Properties: 617.209.5406
245Sumner@maloneyproperties.com",5.0,"2BR, 3BR",70%,"(42.3680662, -71.0381864)"
46,East Boston,"Boston East
126 Border Street","Maloney Properties
BostonEast@maloneyproperties.com",26.0,"1BR, 2BR, artist live/work",70%,"(42.3735689, -71.04099207338331)"
47,East Boston,"Portside @ East Pier, 50 Lewis Street","Maloney Properties: 617.209.5406
Portside@maloneyproperties.com",26.0,"Studio, 1BR, 2BR","80%, 100%, 120%, 150%","(<NA>, <NA>)"
48,East Boston,Portside @ East Pier Phase 2,"Maloney Properties: 617.209.5406
Portside@maloneyproperties.com",43.0,"Studio, 1BR, 2BR","80%, 80-100%, 100-120%, 120-150%","(<NA>, <NA>)"
49,Fenway,29 Peterborough Street,Hajjar Realty: 617.296.5200,1.0,1BR,90%,"(42.344104091432264, -71.09623356562888)"
